艾
爱
哀
琠 DIAN
佃 DIAN
滇 DIAN 
点 DIAN
电 DIAN
店 DIAN
典 DIAN
刁 DIAO 
貂 DIAO
调 DIAO
鸟 DIAO
雕 DIAO
秳 DIE 
迭 DIE
牒 die
鼎 DING
丁 DING
定 DING 
丢 DIU
动 DONG
洞 DONG
栋 DONG
侗 DONG 
峒 DONG
东里 DONG
东阳 DONG
冬 DONG
董鄂 DONG 
苳 DONG
东篱 DONG
东条 DONG
冻 DONG
东 DONG 
东鄙 DONG
东宫 DONG
冬日 DONG
东方 DONG FANG
东郭 DONG GUO 
东门 DONG MEN
东野 DONG YE
斗 DOU
豆 DOU
兜 DOU 
鬭 DOU
窦 DOU
焉 DOU
陡 DOU
豆卢 DOU LU 
督 DU
毒 DU
独 DU
都 DU
杜 DU 
曾 DU
堵 DU
度 DU
堵师 DU
独吉 DU 
芏 du
騳 du
独狐 DU
蠹 Dù
独孤 DU GU 
羽 DUAN
段 DUAN
端 DUAN
锻 DUAN
断 DUAN 
瑖 DUAN
段干 DUAN GAN
端木 DUAN MU
队 DUI
兑 DUI 
堆山 DUI
趸 DUN
盾 DUN
敦 DUN
顿 DUN 
朵 DUO
堕 DUO
多 DUO
铎 DUO
多兰葛 DUO 
朵豁 DUO
剁 DUO 
蛾 E
鹅 E
兹 E 娥 E
鄂 E
俄 E
额尔德雨 E ER DE YU
额勒图特 E LE TU TE 
恩 EN
耳 ER
贰 ER
尔 ER
耳东 ER 
儿 ER
二 ER
洱 ER
穣 ER
尔朱 ERZHU 
发 FA
阀 FA
法 FA
伐 FA
发克 FA 
帆 FAN
梵 FAN
饭 FAN
范姜 FAN
反 FAN 
范 FAN
藩 FAN
樊 FAN
凡 FAN
蕃 FāN 
放 FANG
防 FANG
邡 FANG
鲂 fang
柀Ψ?FANG 
坊 FANG
芳 FANG
方 FANG
房 FANG
房当 FANG 
菲梅尔 FEI
菲 FEI
斐 fei
费也头 FEI
濷 fei 
费 FEI
飞 FEI
废 FEI
非 FEI
肥 FEI 
淝 FEI
奜 FěI
棐 FěI
分 FEN
粉 FEN 
奋 FEN
坟 FEN
峰 FENG
丰将 FENG
封县 FENG 
凤翔 FENG
馮 FENG
讽 FENG
俸 FENG
风 FENG 
奉 FENG
凤 FENG
酆 FENG
冯 FENG
丰 FENG 
封 FENG
枫 FENG
凤翕 FENG
凤翥 FENG
凤翱 FENG 
枫香 FENG
封父 FENG
封人 FENG
冯龚 FENG GONG
佛 FO 
缶 fou
服 FU
附 FU
夫 FU
父 FU 
辅 FU
抚 FU
釜 FU
阜 FU
郛 fu 
复姓 FU
甫 FU
涪 FU
苻 FU
福 FU 
复 FU
府 FU
妇 FU
傅 FU
伏 FU 
扶 FU
付 FU
富 FU
浮 FU
洑 FU 
符 FU
伕 FU
敷 FU
劉付 FU
负 FU 
扶芳 FU
菔 FU
茯 FU
芙 FU
富察 FU CHA 
福图 FU TU 
[ 本帖最后由 奕辰 于 2006-3-16 10:30 编辑 ]
2006-3-15 23:07 奕辰
鎵 ga
尕 GA
改 GAI
该 GAI 
垓 gai
盖 GàI
干 GAN
淦 GAN
赣 GAN 
干段 GAN
赣娄 GAN
绀 gan
魐 gan
橄 gan 
澉 gan
岗 GANG
钢 GANG
纲 GANG
罡 GANG 
港 GANG
冈 GANG
冮 GANG
刚 GANG
郜 GAO 
高 GAO
皋 GAO
半 GAO
高堂 GAO
杲 GAO 
高尔尨 GAO
镐 GAO
睾 gao
糕 GAO
高侯 GAO 
高祁 GAO
高阳 GAO
高上 GAO
告 GAO
高车 GAO 
窠 gao
仡 ge
各 GE
歌逻 GE
阁 GE 
哥 GE
格 GE
歌舒 GE
鸽 GE
閤 GE 
蛤蟆 GE
革 GE
舸 ge
鬲 ge
恪 GE 
戈 GE
葛 GE
哥舒 GE SHU
格尔尼 GEERNI
艮 GEN 
根 GEN
耕 GENG
赓 GENG
庚桑 GENG
亘 GENG 
庚 GENG
更 GENG
陈 GENG
耿 GENG
纥石烈 GESILIE 
高濑 GO
龔 gong
公延 GONG
公衍 GONG
公保 GONG 
公沙 GONG
公丘 GONG
工精 GONG
公绪 GONG
宫堂 GONG 
